DTI_CL_INDICADOR,Indicador,DTI_CL_TRIMESTRE_MOVIL,Trimestre Móvil,DTI_CL_REGION,Región,DTI_CL_SEXO,Sexo,Value,Flag Codes,Flags,Unidad
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2022-V06,2022 may-jul,CHL14,Región de Los Ríos,F,Mujeres,31.3,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2022-V12,2022 nov-ene,CHL14,Región de Los Ríos,F,Mujeres,34.0,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2022-V11,2022 oct-dic,CHL14,Región de Los Ríos,F,Mujeres,33.8,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2022-V10,2022 sep-nov,CHL14,Región de Los Ríos,F,Mujeres,33.5,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V05,2023 abr-jun,CHL14,Región de Los Ríos,F,Mujeres,29.9,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V09,2023 ago-oct,CHL14,Región de Los Ríos,F,Mujeres,34.9,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V01,2023 dic-feb,CHL14,Región de Los Ríos,F,Mujeres,37.5,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V02,2023 ene-mar,CHL14,Región de Los Ríos,F,Mujeres,35.6,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V03,2023 feb-abr,CHL14,Región de Los Ríos,F,Mujeres,35.9,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V08,2023 jul-sep,CHL14,Región de Los Ríos,F,Mujeres,36.0,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V07,2023 jun-ago,CHL14,Región de Los Ríos,F,Mujeres,34.0,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V04,2023 mar-may,CHL14,Región de Los Ríos,F,Mujeres,31.2,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V06,2023 may-jul,CHL14,Región de Los Ríos,F,Mujeres,32.8,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V12,2023 nov-ene,CHL14,Región de Los Ríos,F,Mujeres,33.8,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V11,2023 oct-dic,CHL14,Región de Los Ríos,F,Mujeres,33.2,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2023-V10,2023 sep-nov,CHL14,Región de Los Ríos,F,Mujeres,35.0,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2024-V01,2024 dic-feb,CHL14,Región de Los Ríos,F,Mujeres,33.6,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2024-V02,2024 ene-mar,CHL14,Región de Los Ríos,F,Mujeres,35.0,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2024-V03,2024 feb-abr,CHL14,Región de Los Ríos,F,Mujeres,34.0,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2024-V04,2024 mar-may,CHL14,Región de Los Ríos,F,Mujeres,33.0,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2017-V09,2017 ago-oct,CHL14,Región de Los Ríos,M,Hombres,34.4,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2017-V09,2017 ago-oct,CHL14,Región de Los Ríos,M,Hombres,33.4,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2017-V08,2017 jul-sep,CHL14,Región de Los Ríos,M,Hombres,33.8,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2017-V08,2017 jul-sep,CHL14,Región de Los Ríos,M,Hombres,33.8,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2017-V12,2017 nov-ene,CHL14,Región de Los Ríos,M,Hombres,31.2,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2017-V12,2017 nov-ene,CHL14,Región de Los Ríos,M,Hombres,30.5,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2017-V11,2017 oct-dic,CHL14,Región de Los Ríos,M,Hombres,30.6,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2017-V11,2017 oct-dic,CHL14,Región de Los Ríos,M,Hombres,29.4,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2017-V10,2017 sep-nov,CHL14,Región de Los Ríos,M,Hombres,33.3,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2017-V10,2017 sep-nov,CHL14,Región de Los Ríos,M,Hombres,31.4,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2018-V05,2018 abr-jun,CHL14,Región de Los Ríos,M,Hombres,32.0,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2018-V05,2018 abr-jun,CHL14,Región de Los Ríos,M,Hombres,32.3,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2018-V09,2018 ago-oct,CHL14,Región de Los Ríos,M,Hombres,30.5,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2018-V09,2018 ago-oct,CHL14,Región de Los Ríos,M,Hombres,30.1,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2018-V01,2018 dic-feb,CHL14,Región de Los Ríos,M,Hombres,31.9,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2018-V01,2018 dic-feb,CHL14,Región de Los Ríos,M,Hombres,32.0,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2018-V02,2018 ene-mar,CHL14,Región de Los Ríos,M,Hombres,32.9,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2018-V02,2018 ene-mar,CHL14,Región de Los Ríos,M,Hombres,33.3,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2018-V03,2018 feb-abr,CHL14,Región de Los Ríos,M,Hombres,32.0,,,Porcentaje (%)
INF_TOI_NOAGRO_P2017,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2017),2018-V03,2018 feb-abr,CHL14,Región de Los Ríos,M,Hombres,32.1,,,Porcentaje (%)
INF_TOI_NOAGRO,Tasa de ocupación informal excluyendo al sector agropecuario (proyecciones base 2002),2018-V08,2018 jul-sep,CHL14,Región de Los Ríos,M,Hombres,31.8,,,Porcentaje (%)
