trimestre,region,sexo,nivel_educativo,ocupados_informales,ocupados_formales,ocupados_totales,tasa_informal
2024Q3,Antofagasta,Mujeres,Superior incompleta,4286,9795,14081,0.3043817910659754
2024Q4,Antofagasta,Mujeres,Superior incompleta,7446,9844,17290,0.43065355696934643
2023Q1,Antofagasta,Mujeres,Superior completa,2805,3567,6372,0.4402071563088512
2023Q2,Antofagasta,Mujeres,Superior completa,2199,4548,6747,0.32592263228101376
2023Q3,Antofagasta,Mujeres,Superior completa,3369,3830,7199,0.4679816641200167
2023Q4,Antofagasta,Mujeres,Superior completa,935,1335,2270,0.4118942731277533
2024Q1,Antofagasta,Mujeres,Superior completa,3006,3972,6978,0.4307824591573517
2024Q2,Antofagasta,Mujeres,Superior completa,6589,6087,12676,0.5198011991164405
2024Q3,Antofagasta,Mujeres,Superior completa,831,1370,2201,0.37755565651976375
2024Q4,Antofagasta,Mujeres,Superior completa,6723,14061,20784,0.32346997690531176
2023Q1,Atacama,Hombres,Sin educación,5566,9839,15405,0.36131126257708535
2023Q2,Atacama,Hombres,Sin educación,5785,9204,14989,0.38594969644405897
2023Q3,Atacama,Hombres,Sin educación,3575,8051,11626,0.30750043007053157
2023Q4,Atacama,Hombres,Sin educación,5572,7476,13048,0.4270386266094421
2024Q1,Atacama,Hombres,Sin educación,3565,6759,10324,0.3453118946144905
2024Q2,Atacama,Hombres,Sin educación,7656,8060,15716,0.4871468567065411
2024Q3,Atacama,Hombres,Sin educación,3403,3823,7226,0.4709382784389704
2024Q4,Atacama,Hombres,Sin educación,7219,8071,15290,0.4721386527141923
2023Q1,Atacama,Hombres,Básica incompleta,3020,5375,8395,0.35973793924955333
2023Q2,Atacama,Hombres,Básica incompleta,6490,6486,12976,0.500154130702836
2023Q3,Atacama,Hombres,Básica incompleta,6057,6951,13008,0.46563653136531363
2023Q4,Atacama,Hombres,Básica incompleta,946,1785,2731,0.3463932625411937
2024Q1,Atacama,Hombres,Básica incompleta,2386,2575,4961,0.48095142108445876
2024Q2,Atacama,Hombres,Básica incompleta,1807,2116,3923,0.46061687484068314
2024Q3,Atacama,Hombres,Básica incompleta,4421,8527,12948,0.3414426938523324
2024Q4,Atacama,Hombres,Básica incompleta,5132,7719,12851,0.39934635436930976
2023Q1,Atacama,Hombres,Básica completa,3802,9051,12853,0.29580642651521044
2023Q2,Atacama,Hombres,Básica completa,1181,2368,3549,0.3327697943082559
2023Q3,Atacama,Hombres,Básica completa,2484,3487,5971,0.41601071847261767
2023Q4,Atacama,Hombres,Básica completa,5305,7496,12801,0.41442074837903287
2024Q1,Atacama,Hombres,Básica completa,5026,9654,14680,0.34237057220708444
2024Q2,Atacama,Hombres,Básica completa,8928,11527,20455,0.4364703006599853
2024Q3,Atacama,Hombres,Básica completa,7338,8505,15843,0.46316985419428136
2024Q4,Atacama,Hombres,Básica completa,1486,2813,4299,0.3456617818097232
2023Q1,Atacama,Hombres,Media incompleta,3994,6853,10847,0.36821240896100305
2023Q2,Atacama,Hombres,Media incompleta,7009,11171,18180,0.3855335533553355
2023Q3,Atacama,Hombres,Media incompleta,6864,9632,16496,0.41610087293889425
2023Q4,Atacama,Hombres,Media incompleta,6329,12934,19263,0.3285573379016768
2024Q1,Atacama,Hombres,Media incompleta,2742,5287,8029,0.3415120189313738
2024Q2,Atacama,Hombres,Media incompleta,6594,10899,17493,0.37695078031212487
2024Q3,Atacama,Hombres,Media incompleta,2868,6742,9610,0.29843912591050986
2024Q4,Atacama,Hombres,Media incompleta,6036,9432,15468,0.39022498060512023
2023Q1,Atacama,Hombres,Media completa,3444,3058,6502,0.5296831744078745
2023Q2,Atacama,Hombres,Media completa,5981,7907,13888,0.43065956221198154
2023Q3,Atacama,Hombres,Media completa,8923,10400,19323,0.46178129690006725
2023Q4,Atacama,Hombres,Media completa,3837,6027,9864,0.3889902676399027
2024Q1,Atacama,Hombres,Media completa,2706,4081,6787,0.3987034035656402
2024Q2,Atacama,Hombres,Media completa,5032,9803,14835,0.33919784293899563
2024Q3,Atacama,Hombres,Media completa,5773,14048,19821,0.29125674789364814
2024Q4,Atacama,Hombres,Media completa,4079,10573,14652,0.27839202839202837
2023Q1,Atacama,Hombres,Superior incompleta,5764,7564,13328,0.4324729891956783
2023Q2,Atacama,Hombres,Superior incompleta,832,1631,2463,0.3377994315874949
2023Q3,Atacama,Hombres,Superior incompleta,4829,8576,13405,0.36023871689668036
2023Q4,Atacama,Hombres,Superior incompleta,3545,5423,8968,0.39529438001784123
2024Q1,Atacama,Hombres,Superior incompleta,3889,7493,11382,0.3416798453698823
2024Q2,Atacama,Hombres,Superior incompleta,2958,7257,10215,0.2895741556534508
2024Q3,Atacama,Hombres,Superior incompleta,2128,2832,4960,0.4290322580645161
2024Q4,Atacama,Hombres,Superior incompleta,4107,4754,8861,0.4634917052251439
2023Q1,Atacama,Hombres,Superior completa,5879,6472,12351,0.47599384665209293
2023Q2,Atacama,Hombres,Superior completa,2939,2789,5728,0.5130935754189944
2023Q3,Atacama,Hombres,Superior completa,1441,2132,3573,0.40330254687937306
2023Q4,Atacama,Hombres,Superior completa,3692,6454,10146,0.36388724620540114
2024Q1,Atacama,Hombres,Superior completa,3738,3434,7172,0.5211935303959844
2024Q2,Atacama,Hombres,Superior completa,4502,5381,9883,0.4555296974602853
2024Q3,Atacama,Hombres,Superior completa,2093,3487,5580,0.375089605734767
2024Q4,Atacama,Hombres,Superior completa,7745,12798,20543,0.3770140680523779
2023Q1,Atacama,Mujeres,Sin educación,7348,11886,19234,0.38203181865446606
2023Q2,Atacama,Mujeres,Sin educación,3458,3443,6901,0.5010867990146356
2023Q3,Atacama,Mujeres,Sin educación,1127,2692,3819,0.2951034302173344
2023Q4,Atacama,Mujeres,Sin educación,6808,9805,16613,0.40979955456570155
2024Q1,Atacama,Mujeres,Sin educación,3638,6433,10071,0.36123522986793766
2024Q2,Atacama,Mujeres,Sin educación,4358,8144,12502,0.3485842265237562
2024Q3,Atacama,Mujeres,Sin educación,2654,3181,5835,0.4548414738646101
2024Q4,Atacama,Mujeres,Sin educación,1990,4078,6068,0.3279499011206328
2023Q1,Atacama,Mujeres,Básica incompleta,1168,1687,2855,0.40910683012259197
2023Q2,Atacama,Mujeres,Básica incompleta,4987,6756,11743,0.42467853189133953
2023Q3,Atacama,Mujeres,Básica incompleta,3392,3653,7045,0.4814762242725337
2023Q4,Atacama,Mujeres,Básica incompleta,1076,2826,3902,0.27575602255253717
2024Q1,Atacama,Mujeres,Básica incompleta,1015,2537,3552,0.2857545045045045
2024Q2,Atacama,Mujeres,Básica incompleta,5828,8041,13869,0.4202177518206071
2024Q3,Atacama,Mujeres,Básica incompleta,9851,14671,24522,0.4017209036783297
2024Q4,Atacama,Mujeres,Básica incompleta,4002,4843,8845,0.4524590163934426
2023Q1,Atacama,Mujeres,Básica completa,4576,5617,10193,0.44893554400078484
2023Q2,Atacama,Mujeres,Básica completa,8663,11382,20045,0.432177600399102
2023Q3,Atacama,Mujeres,Básica completa,3240,5283,8523,0.3801478352692714
2023Q4,Atacama,Mujeres,Básica completa,1114,2556,3670,0.30354223433242505
2024Q1,Atacama,Mujeres,Básica completa,1532,1509,3041,0.5037816507727721
2024Q2,Atacama,Mujeres,Básica completa,3027,5922,8949,0.3382500838082467
2024Q3,Atacama,Mujeres,Básica completa,5530,6989,12519,0.44172857256969406
2024Q4,Atacama,Mujeres,Básica completa,8995,13147,22142,0.4062415319302683
2023Q1,Atacama,Mujeres,Media incompleta,8762,11331,20093,0.43607226397252774
2023Q2,Atacama,Mujeres,Media incompleta,5002,5218,10220,0.4894324853228963
2023Q3,Atacama,Mujeres,Media incompleta,2153,3115,5268,0.4086940015186029
2023Q4,Atacama,Mujeres,Media incompleta,2591,3071,5662,0.45761215118332743
2024Q1,Atacama,Mujeres,Media incompleta,4578,7242,11820,0.38730964467005075
2024Q2,Atacama,Mujeres,Media incompleta,1464,1280,2744,0.5335276967930029
2024Q3,Atacama,Mujeres,Media incompleta,2809,7964,10773,0.26074445372690985
2024Q4,Atacama,Mujeres,Media incompleta,2844,5533,8377,0.33950101468306076
2023Q1,Atacama,Mujeres,Media completa,1753,2172,3925,0.4466242038216561
2023Q2,Atacama,Mujeres,Media completa,7152,13516,20668,0.3460421908263983
2023Q3,Atacama,Mujeres,Media completa,2355,2218,4573,0.5149792258910999
2023Q4,Atacama,Mujeres,Media completa,1712,3169,4881,0.3507477975824626
2024Q1,Atacama,Mujeres,Media completa,1335,1622,2957,0.4514710855596889
2024Q2,Atacama,Mujeres,Media completa,5632,8257,13889,0.405500755993952
2024Q3,Atacama,Mujeres,Media completa,2985,3514,6499,0.459301430989383
2024Q4,Atacama,Mujeres,Media completa,1245,1957,3202,0.38881948782011244
2023Q1,Atacama,Mujeres,Superior incompleta,1538,2792,4330,0.3551963048498845
2023Q2,Atacama,Mujeres,Superior incompleta,5342,8286,13628,0.39198708541238625
2023Q3,Atacama,Mujeres,Superior incompleta,2141,2864,5005,0.4277722277722278
2023Q4,Atacama,Mujeres,Superior incompleta,2125,4651,6776,0.31360684769775676
2024Q1,Atacama,Mujeres,Superior incompleta,3304,4929,8233,0.4013117939997571
2024Q2,Atacama,Mujeres,Superior incompleta,2796,3504,6300,0.4438095238095238
2024Q3,Atacama,Mujeres,Superior incompleta,4639,6742,11381,0.4076091731833758
2024Q4,Atacama,Mujeres,Superior incompleta,1495,2039,3534,0.42303338992642897
2023Q1,Atacama,Mujeres,Superior completa,3683,4184,7867,0.46815812889284353
2023Q2,Atacama,Mujeres,Superior completa,3337,6610,9947,0.3354780335779632
2023Q3,Atacama,Mujeres,Superior completa,2049,3036,5085,0.40294985250737464
2023Q4,Atacama,Mujeres,Superior completa,9631,13752,23383,0.41188042595047686
2024Q1,Atacama,Mujeres,Superior completa,3739,3749,7488,0.49933226495726496
2024Q2,Atacama,Mujeres,Superior completa,5600,6823,12423,0.4507767849955727
2024Q3,Atacama,Mujeres,Superior completa,3296,6691,9987,0.3300290377490738
2024Q4,Atacama,Mujeres,Superior completa,4635,9957,14592,0.3176398026315789
2023Q1,Aysén,Hombres,Sin educación,10115,13344,23459,0.43117779956519886
2023Q2,Aysén,Hombres,Sin educación,6217,10200,16417,0.3786928184199306
2023Q3,Aysén,Hombres,Sin educación,6152,6478,12630,0.4870942201108472
2023Q4,Aysén,Hombres,Sin educación,2819,3038,5857,0.4813044220590746
2024Q1,Aysén,Hombres,Sin educación,3517,4074,7591,0.4633118166249506
2024Q2,Aysén,Hombres,Sin educación,1521,2045,3566,0.42652832305103755
2024Q3,Aysén,Hombres,Sin educación,7613,12628,20241,0.3761177807420582
2024Q4,Aysén,Hombres,Sin educación,5974,7370,13344,0.44769184652278177
2023Q1,Aysén,Hombres,Básica incompleta,2229,6037,8266,0.26965884345511737
2023Q2,Aysén,Hombres,Básica incompleta,7509,8847,16356,0.4590975788701394
2023Q3,Aysén,Hombres,Básica incompleta,996,1311,2307,0.4317295188556567
2023Q4,Aysén,Hombres,Básica incompleta,5667,5818,11485,0.4934262080975185
2024Q1,Aysén,Hombres,Básica incompleta,8029,12378,20407,0.3934434262752977
2024Q2,Aysén,Hombres,Básica incompleta,7303,12180,19483,0.3748396037571216
2024Q3,Aysén,Hombres,Básica incompleta,3956,7660,11616,0.340564738292011
2024Q4,Aysén,Hombres,Básica incompleta,5958,11646,17604,0.33844580777096117
2023Q1,Aysén,Hombres,Básica completa,2733,6534,9267,0.29491744901262545
2023Q2,Aysén,Hombres,Básica completa,2223,3903,6126,0.36287952987267386
2023Q3,Aysén,Hombres,Básica completa,8064,12026,20090,0.4013937282229965
2023Q4,Aysén,Hombres,Básica completa,1429,1554,2983,0.4790479383171304
2024Q1,Aysén,Hombres,Básica completa,1635,3349,4984,0.3280497592295345
2024Q2,Aysén,Hombres,Básica completa,3557,6178,9735,0.3653826399589111
2024Q3,Aysén,Hombres,Básica completa,5433,11420,16853,0.3223758381297098
2024Q4,Aysén,Hombres,Básica completa,4569,5116,9685,0.4717604543107899
2023Q1,Aysén,Hombres,Media incompleta,4848,5218,10066,0.4816212994238029
2023Q2,Aysén,Hombres,Media incompleta,4537,5696,10233,0.44336949086289457
2023Q3,Aysén,Hombres,Media incompleta,4032,4074,8106,0.49740932642487046
2023Q4,Aysén,Hombres,Media incompleta,5685,12416,18101,0.31407104579857464
2024Q1,Aysén,Hombres,Media incompleta,4115,5101,9216,0.4465060763888889
2024Q2,Aysén,Hombres,Media incompleta,2097,3743,5840,0.3590753424657534
2024Q3,Aysén,Hombres,Media incompleta,766,1565,2331,0.3286143286143286
2024Q4,Aysén,Hombres,Media incompleta,10345,10776,21121,0.4897968846172056
2023Q1,Aysén,Hombres,Media completa,5930,11820,17750,0.3340845070422535
2023Q2,Aysén,Hombres,Media completa,1749,1935,3684,0.4747557003257329
2023Q3,Aysén,Hombres,Media completa,850,1197,2047,0.4152418172936004
2023Q4,Aysén,Hombres,Media completa,3782,7790,11572,0.3268233667473211
2024Q1,Aysén,Hombres,Media completa,3330,5176,8506,0.3914883611568305
2024Q2,Aysén,Hombres,Media completa,4434,11298,15732,0.2818459191456903
2024Q3,Aysén,Hombres,Media completa,3651,5260,8911,0.40971832566490857
2024Q4,Aysén,Hombres,Media completa,4395,5330,9725,0.4519280205655527
2023Q1,Aysén,Hombres,Superior incompleta,8552,9227,17779,0.48101693008605656
2023Q2,Aysén,Hombres,Superior incompleta,5982,6099,12081,0.49515768562205115
2023Q3,Aysén,Hombres,Superior incompleta,2918,4788,7706,0.3786659745652738
2023Q4,Aysén,Hombres,Superior incompleta,2171,3457,5628,0.3857498223169865
2024Q1,Aysén,Hombres,Superior incompleta,5677,8101,13778,0.4120336768761794
2024Q2,Aysén,Hombres,Superior incompleta,5692,9053,14745,0.38602916242794166
2024Q3,Aysén,Hombres,Superior incompleta,4370,9417,13787,0.3169652571262784
2024Q4,Aysén,Hombres,Superior incompleta,2513,4209,6722,0.37384706932460576
2023Q1,Aysén,Hombres,Superior completa,4379,6789,11168,0.39210243553008595
2023Q2,Aysén,Hombres,Superior completa,1395,1450,2845,0.4903339191564148
2023Q3,Aysén,Hombres,Superior completa,6399,8270,14669,0.4362260549458041
2023Q4,Aysén,Hombres,Superior completa,5943,8486,14429,0.41187885508351235
2024Q1,Aysén,Hombres,Superior completa,1054,2630,3684,0.28610206297502716
2024Q2,Aysén,Hombres,Superior completa,2510,2858,5368,0.46758569299552905
2024Q3,Aysén,Hombres,Superior completa,4312,7342,11654,0.3700017161489617
2024Q4,Aysén,Hombres,Superior completa,4265,10989,15254,0.27959879375901403
2023Q1,Aysén,Mujeres,Sin educación,9256,12812,22068,0.4194308500996919
2023Q2,Aysén,Mujeres,Sin educación,7211,11561,18772,0.3841359471553377
2023Q3,Aysén,Mujeres,Sin educación,7229,10454,17683,0.408810722162529
2023Q4,Aysén,Mujeres,Sin educación,4045,5320,9365,0.4319273892151628
2024Q1,Aysén,Mujeres,Sin educación,7034,9654,16688,0.4215004793863854
2024Q2,Aysén,Mujeres,Sin educación,6035,10424,16459,0.36666869190108753
2024Q3,Aysén,Mujeres,Sin educación,6806,11279,18085,0.37633397843516725
2024Q4,Aysén,Mujeres,Sin educación,6329,12240,18569,0.340836878668749
2023Q1,Aysén,Mujeres,Básica incompleta,5990,13102,19092,0.31374397653467423
2023Q2,Aysén,Mujeres,Básica incompleta,2691,3524,6215,0.4329847144006436
2023Q3,Aysén,Mujeres,Básica incompleta,1033,1587,2620,0.39427480916030533
2023Q4,Aysén,Mujeres,Básica incompleta,8408,10757,19165,0.43871641012261936
2024Q1,Aysén,Mujeres,Básica incompleta,4612,11119,15731,0.2931790731676308
2024Q2,Aysén,Mujeres,Básica incompleta,4060,6250,10310,0.3937924345295829
2024Q3,Aysén,Mujeres,Básica incompleta,6425,7627,14052,0.4572302875035582
2024Q4,Aysén,Mujeres,Básica incompleta,6112,10815,16927,0.3610799314704319
2023Q1,Aysén,Mujeres,Básica completa,2203,4041,6244,0.3528187059577194
2023Q2,Aysén,Mujeres,Básica completa,2979,4904,7883,0.3779018140301916
2023Q3,Aysén,Mujeres,Básica completa,5092,8844,13936,0.36538461538461536
2023Q4,Aysén,Mujeres,Básica completa,8889,14638,23527,0.37782122667573426
2024Q1,Aysén,Mujeres,Básica completa,3452,4711,8163,0.422883743721671
2024Q2,Aysén,Mujeres,Básica completa,2525,2805,5330,0.47373358348968103
2024Q3,Aysén,Mujeres,Básica completa,646,1715,2361,0.27361287590004235
2024Q4,Aysén,Mujeres,Básica completa,3376,4961,8337,0.4049418255967374
2023Q1,Aysén,Mujeres,Media incompleta,4943,9225,14168,0.3488848108413326
2023Q2,Aysén,Mujeres,Media incompleta,6427,11689,18116,0.35476926473835285
2023Q3,Aysén,Mujeres,Media incompleta,3769,10022,13791,0.2732941773620477
2023Q4,Aysén,Mujeres,Media incompleta,4648,5932,10580,0.4393194706994329
2024Q1,Aysén,Mujeres,Media incompleta,2173,3922,6095,0.3565217391304348
2024Q2,Aysén,Mujeres,Media incompleta,2170,4721,6891,0.31490349731533884
2024Q3,Aysén,Mujeres,Media incompleta,5584,8266,13850,0.4031768953068592
2024Q4,Aysén,Mujeres,Media incompleta,4999,8933,13932,0.3588142405971863
2023Q1,Aysén,Mujeres,Media completa,8686,13763,22449,0.3869214664350305
2023Q2,Aysén,Mujeres,Media completa,3721,10142,13863,0.26841232056553416
2023Q3,Aysén,Mujeres,Media completa,3251,6112,9363,0.34721777208159776
2023Q4,Aysén,Mujeres,Media completa,1073,2331,3404,0.31521739130434784
2024Q1,Aysén,Mujeres,Media completa,1214,1913,3127,0.38823153181963543
2024Q2,Aysén,Mujeres,Media completa,2526,2972,5498,0.45943979628955983
2024Q3,Aysén,Mujeres,Media completa,5381,6153,11534,0.46653372637419804
2024Q4,Aysén,Mujeres,Media completa,6470,5976,12446,0.5198457335690182
2023Q1,Aysén,Mujeres,Superior incompleta,1302,1873,3175,0.4100787401574803
2023Q2,Aysén,Mujeres,Superior incompleta,8699,11830,20529,0.42374202347898093
2023Q3,Aysén,Mujeres,Superior incompleta,9179,11702,20881,0.43958622671328
2023Q4,Aysén,Mujeres,Superior incompleta,6567,6388,12955,0.5069085295252798
2024Q1,Aysén,Mujeres,Superior incompleta,3278,5826,9104,0.3600615114235501
2024Q2,Aysén,Mujeres,Superior incompleta,4669,6328,10997,0.4245703373647358
2024Q3,Aysén,Mujeres,Superior incompleta,1370,1929,3299,0.4152773567747802
2024Q4,Aysén,Mujeres,Superior incompleta,8545,12395,20940,0.4080706781279847
2023Q1,Aysén,Mujeres,Superior completa,6649,8938,15587,0.42657342657342656
2023Q2,Aysén,Mujeres,Superior completa,4521,8628,13149,0.3438284280173397
2023Q3,Aysén,Mujeres,Superior completa,6850,9380,16230,0.42205791743684534
2023Q4,Aysén,Mujeres,Superior completa,3688,3588,7276,0.5068719076415613
2024Q1,Aysén,Mujeres,Superior completa,1835,4424,6259,0.2931778239335357
